SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
130311.36+170430.6,0.7707,-23.88626621061325,-24.019758220129926,-24.291276964714125,-24.385208920531365,-24.587030630652883,-21.465401128057298,-23.562467973947633,-24.734701642479184,-24.62770059038152,-25.00157439518334,-25.86470432468301,-26.658054911296045
130313.02+281107.7,1.315,-25.664206140193787,-25.863019719994163,-26.06267657951423,-26.17781539236661,-26.45128369051023,-24.643719191311327,-25.839784180199135,-26.315041064959818,-26.46305715051704,-26.4969743644904,-27.6461427697788,-28.541880405521635
130325.88+174000.1,0.884,-23.816481856241978,-24.214728232874606,-24.589580543405035,-24.7868046332918,-25.01731438294108,-20.07279910773254,-23.28222958417942,-25.238180349744887,-25.321089430093952,-25.54987555395592,-25.787361564512643,-26.55635290700791
130343.27+070947.5,0.938,-24.853452636928484,-24.891797518147754,-25.162120174564258,-25.184815379306887,-25.3097709921671,-22.6571680874686,-24.355955352448206,-25.365611439510356,-25.543885581725643,-25.73872760034899,-26.57395038280923,-27.451235614816664
130345.98+263314.1,0.4356,-23.1387030129287,-23.259282833011667,-23.430078399602138,-23.521485004091264,-23.796384949320167,-23.39497274523608,-23.221676327658333,-23.41569961981255,-23.849723543012303,-24.25434189465449,-24.634440886908635,-25.46039254894136
130357.42+103313.5,0.590541,-23.886348274763197,-24.08562486569461,-24.557132264427096,-24.647180517927076,-24.890563852796458,-23.820838803357535,-23.716853701063968,-25.047797415172457,-24.89090858366047,-25.113524348036712,-25.912390408788944,-26.74291246111755
130357.89+500638.3,0.392118,-22.385941070403383,-22.6516406293952,-22.97377079049261,-22.99475722911605,-23.213795768235187,-22.437094450784684,-22.352530283169948,-23.722069086940216,-23.865180250936266,-24.395596172361444,-25.10708263660446,-25.93062258229823
130403.73+085728.4,1.612,-24.90046564095423,-25.082939187147062,-25.341475927485362,-25.475265059695232,-25.769888214053303,-21.091180928886388,-23.642930437759194,-25.93797962776708,-26.210446364768465,-26.481785260520976,-26.832738589599977,-27.707757847411415
130411.10+604151.6,1.078,-22.814184959401697,-23.636771893136267,-24.25111308950294,-24.605056188752375,-25.048206215511712,-21.076392034572667,-22.10996695057993,-24.996063998358153,-25.644360153405383,-25.854927526433915,-26.692515967861638,-27.649084971602786
130416.99+020537.0,0.228736,-22.29406022148133,-22.423456788345494,-22.71200576689377,-22.82922043916054,-22.843586245908213,-21.909800489547244,-22.06389544404725,-23.17036759531384,-23.58189236428039,-24.096372194874203,-24.875676175367992,-25.521394019260946
130429.03+311308.2,0.80607,-23.982606758689418,-24.095437355617054,-24.41880781051762,-24.46265543427369,-24.607502520642083,-23.58773490794996,-23.949544987928398,-24.673241868126958,-24.69988637875312,-25.507850597210037,-25.91283661966966,-26.671383072301705
130430.59+130218.0,2.128,-25.62981066695667,-25.847559721067572,-26.2328584932259,-26.389436558088036,-26.65083315452373,-20.423337479239628,-23.34932924082684,-26.986223912835282,-27.27195588190801,-27.57310429240849,-27.669194016169296,-28.539694139984018
130432.98+464245.3,0.446,-22.690601491782868,-22.793752928251052,-23.193299822852993,-23.297266678125293,-23.540699618277102,-22.82880044438868,-22.57292050160378,-23.752669340088456,-24.40443627745579,-24.782375885604242,-25.281594272243314,-25.967239828443233
130435.03+184749.0,0.6416,-24.930574660313006,-25.079882907811,-25.453307801681262,-25.63268434025794,-25.800394243686302,-24.833300778453648,-24.688861907522323,-25.955591419372066,-26.043639007575024,-26.368129684992205,-26.711749921110876,-27.497443451277643
130443.58+200104.1,2.174,-24.272158309891818,-24.378477522984845,-24.711042464917377,-24.8677604591168,-25.127880129239593,-20.240057499890195,-23.056393854632713,-26.074914621792892,-26.48919118553227,-26.85671699347194,-26.12431008365599,-26.989472912765372
130451.41+245445.9,0.6024,-24.051250808412004,-24.184714937228758,-24.444321577296385,-24.43271155833077,-24.593786420962182,-24.319847258405478,-24.03931317105304,-24.733953139128015,-24.72653192003853,-25.137671849770232,-25.525886550640255,-26.449205881573857
130456.91+395111.4,0.271015,-22.47187248338039,-22.64249816335467,-22.872325689215376,-22.93724812427233,-23.099926109936074,-21.769069447341106,-22.089163217761715,-23.642401169438358,-23.89918356246307,-24.617339119161795,-24.835962850697346,-25.481508405915978
130501.45+381034.5,0.619827,-22.8227767886337,-23.0150318938415,-23.489718667999625,-23.722168803918375,-23.951921078005444,-22.260518537335457,-22.400058535657518,-24.077331202626517,-24.547003196399437,-24.503108651130223,-24.86441266680728,-25.616276363322893
