# Template extendido con power-law (f_lambda = A * (lam/lam0)^(-alpha) + C)
# A = 8.034762e-15, alpha = 1.683010, C = 6.020234e-15, lam0 = 7183.2 Angstrom
# columns: lambda_Angstrom, f_lambda

1238.950000,2.762800e-13
1239.520000,2.750940e-13
1240.080000,2.743320e-13
1240.650000,2.731950e-13
1241.210000,2.711920e-13
1241.780000,2.697390e-13
1242.340000,2.682390e-13
1242.910000,2.659630e-13
1243.470000,2.634140e-13
1244.040000,2.603650e-13
1244.600000,2.563990e-13
1245.170000,2.515780e-13
1245.730000,2.460700e-13
1246.300000,2.402990e-13
1246.860000,2.352350e-13
1247.430000,2.310660e-13
1247.990000,2.268650e-13
1248.560000,2.231880e-13
1249.120000,2.197480e-13
1249.690000,2.169110e-13
1250.250000,2.141660e-13
1250.820000,2.117970e-13
1251.380000,2.097030e-13
1251.950000,2.076490e-13
1252.510000,2.052000e-13
1253.080000,2.024840e-13
1253.640000,2.001400e-13
1254.210000,1.979540e-13
1254.770000,1.956660e-13
1255.340000,1.935020e-13
1255.900000,1.918260e-13
1256.470000,1.899860e-13
1257.030000,1.881040e-13
1257.600000,1.862230e-13
1258.160000,1.844620e-13
1258.730000,1.830410e-13
1259.290000,1.818640e-13
1259.860000,1.807500e-13
1260.420000,1.799810e-13
1260.990000,1.793670e-13
1261.550000,1.782150e-13
1262.120000,1.771460e-13
1262.680000,1.761680e-13
1263.250000,1.754070e-13
1263.810000,1.745450e-13
1264.380000,1.740170e-13
1264.940000,1.734260e-13
1265.510000,1.728390e-13
1266.070000,1.722460e-13
1266.640000,1.716260e-13
1267.200000,1.704440e-13
1267.770000,1.687770e-13
1268.330000,1.669160e-13
1268.900000,1.644160e-13
1269.460000,1.615260e-13
1270.030000,1.593080e-13
1270.590000,1.576030e-13
1271.160000,1.560890e-13
1271.720000,1.550470e-13
1272.290000,1.543970e-13
1272.850000,1.534860e-13
1273.420000,1.523450e-13
1273.980000,1.512240e-13
1274.550000,1.503040e-13
1275.110000,1.494190e-13
1275.680000,1.484230e-13
1276.240000,1.477680e-13
1276.810000,1.471840e-13
1277.370000,1.463880e-13
1277.940000,1.454130e-13
1278.500000,1.443370e-13
1279.070000,1.429880e-13
1279.630000,1.417900e-13
1280.200000,1.406660e-13
1280.760000,1.398260e-13
1281.330000,1.391210e-13
1281.890000,1.384120e-13
