SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
081456.09+532533.5,0.119724,-21.50501011991329,-21.90053295170667,-22.28474556812452,-22.26612791353769,-22.363931741118343,-19.59915109628063,-20.33725829278989,-22.586952593454274,-22.83615496318153,-23.02935126010244,-23.537867767107727,-23.90431507176,3
081501.85+525255.5,0.125,-21.52845442347474,-21.663255130071683,-21.96970963728284,-22.25796369808331,-22.16009374762365,-21.02093708045141,-21.167326837996463,-22.614697306537703,-23.08479907947855,-23.317305102745667,-23.65242494879099,-24.05579419832108,3
082536.84+195950.8,0.30224,-21.77775353826847,-21.9968761716681,-22.362976189911603,-22.604861029440904,-22.66069481237664,-21.81825811266656,-21.828094587691147,-23.215476939743372,-23.515436194007915,-23.85028724403433,-24.034166963462237,-24.56105172242826,3
082628.20+085535.4,0.2542,-22.65619067134988,-22.87719005808001,-23.264359327117525,-23.36294106429696,-23.44346922189786,-22.463333788020343,-22.46375351915996,-23.750946472939017,-24.001216709930272,-24.645611949462594,-25.213267124098845,-25.76703217285708,3
082733.93+043617.3,0.220883,-21.555731550636544,-21.835241170277413,-22.217324783406205,-22.54739159541568,-22.5095867413363,-19.398682122295902,-20.33640763749376,-22.85614186861661,-23.06505649041853,-23.81469734216929,-24.615725344651917,-25.005080614535427,3
082800.60+401135.1,0.22125,-21.795040646513105,-22.08739215925607,-22.419367729891917,-22.60534278181757,-22.626345055627723,-19.747635922544244,-20.39119869125633,-22.78941739117132,-22.888094432895592,-23.305986820803252,-24.185365914979737,-24.801300622115985,3
083120.98+483154.4,0.334737,-22.48543046581792,-22.65242901486976,-22.93432449342138,-23.002433287774444,-23.087551434494397,-21.915840132446185,-22.020221481722317,-22.9502102327819,-23.375683359523613,-23.85823614454396,-24.42312283279915,-25.03058678820494,3
083303.21+272241.8,0.271909,-22.272870893044303,-22.381881965509724,-22.56063098946777,-22.718158388497045,-22.80768339190127,-21.705547703537555,-21.744488886155903,-23.10730994124764,-23.39633444302921,-23.774728137619164,-24.157516612151053,-24.60191893597233,3
083343.47+074654.4,0.205786,-21.93604217656375,-22.11818075124226,-22.35538453162829,-22.588884219673144,-22.47971623843028,-21.41827267477651,-21.57065262872968,-22.220324624300677,-22.529828430309426,-22.998323708344987,-23.386972966449367,-23.83298092586497,3
083417.90+491439.2,0.173144,-21.592147145037572,-21.875503490217653,-22.10710595734865,-22.26968186061177,-22.198872776049956,-21.43968924015785,-21.49935752386904,-22.33075943450348,-22.85453738993999,-23.4247088468232,-24.07577792946458,-24.568054284190143,3
083550.97+142344.3,0.3526,-22.64710549237372,-22.763978956393032,-23.171952073574133,-23.329446725955822,-23.261559359389704,-21.998747681161724,-22.203575877042223,-23.386461425881052,-23.84478579409121,-24.262845540243163,-24.94864300070803,-25.53311595791588,3
083754.97+175251.2,0.232067,-21.79264728605216,-21.898128051926044,-22.178339190908524,-22.432996790980404,-22.463455399560825,-20.50194671527449,-21.238198180587908,-22.83762212139548,-23.14462458093029,-23.639479167724016,-24.07340146117277,-24.63078380322278,3
083924.60+575230.0,0.187,-21.05822501913516,-21.327074704241983,-21.69958201163337,-21.90046688672159,-21.817177214026646,-20.51598797007301,-20.45074686519471,-22.221315263077265,-22.35927860779124,-22.85493422999712,-23.31132269249263,-23.74565805037481,3
084313.41+535718.8,0.217559,-22.30918541592865,-22.585488073800725,-22.95719455988832,-23.328342861306616,-23.074944168147425,-21.81133956988022,-22.08098277602074,-23.17820818504053,-23.5212589005791,-23.72265348963617,-24.38381597782117,-24.874265524677696,3
084533.28+474934.5,0.302,-22.357257591856943,-22.5805468589946,-22.810369959478116,-23.02735494436137,-23.02884264664124,-21.83428326717356,-22.299238992560248,-22.949900217559676,-23.67878475635669,-23.874937610411504,-24.75837888427955,-25.29230355591169,3
084755.63+263147.6,0.282122,-22.462354535643737,-22.507171008406075,-22.68520691748295,-22.88077024111813,-23.063290373923586,-21.618467040993067,-21.84549591045828,-23.324935054010965,-23.49781602402235,-23.769563025328992,-24.06071568018235,-24.63118339116864,3
085240.12+051215.4,0.226212,-22.2094175845322,-22.637581351041906,-22.961342985683345,-23.03744781420526,-23.131381522057783,-21.17862229564364,-21.567685070185984,-23.16634429702586,-23.39868366556573,-23.65331048391815,-23.513381560643538,-23.87723243934236,3
085259.22+031320.6,0.297364,-24.02495154826971,-24.21428703121547,-24.396882580757755,-24.40720277155052,-24.48278290755324,-23.230165915353084,-23.40675958181869,-24.469443468696976,-24.752899819926203,-25.324400002522555,-25.846328110793056,-26.434941073047987,3
